순번,학기,대학(원),학과(부),학년,이수구분,이수영역,학수번호,교과목명,교과목명(영문),담당교수,소속,강의실,시간표(교시),시간표(시간),교시유형,학점,시수,이론,실습,정원,수강,수강(남),수강(여),재수강,수업구분,수업유형,집중이수제,성적평가,원어강의,원어강의구분,원어강사료지급,캡스톤디자인,수강대상,수업방법,비고
423,2026년 1학기,글로벌정경대학,경제학과,2,전공기초,전공기초,0010872001,경제통계기초,Basic Economic Statistics,김선진,경제학과,제14호관 동북아경제·경영-114 강의실[14-114]," [14-114:월(4-5A),목(2B-3)]"," [14-114:월(12:00~13:15),목(10:30~11:45)]",75분,3,3,3,0,68,65,45,20,0,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
424,2026년 1학기,글로벌정경대학,경제학과,2,전공기초,전공기초,0010872002,경제통계기초,Basic Economic Statistics,김선진,경제학과,제14호관 동북아경제·경영-105 강의실[14-105]," [14-105:월(5B-6),목(4-5A)]"," [14-105:월(13:30~14:45),목(12:00~13:15)]",75분,3,3,3,0,40,25,17,8,0,일반과목,강의(이론),일반(1~15주),절대평가,Y,원어강의(EN),지급,아니오,,,
425,2026년 1학기,글로벌정경대학,경제학과,2,전공핵심,전공핵심,KBA6006001,경제사,GENERAL ECONOMIC HISTORY,양준호,경제학과,제14호관 동북아경제·경영-114 강의실[14-114]," [14-114:수(7-8A),목(7-8A)]"," [14-114:수(15:00~16:15),목(15:00~16:15)]",75분,3,3,3,0,67,67,43,24,1,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
426,2026년 1학기,글로벌정경대학,경제학과,2,전공핵심,전공핵심,KBA6006002,경제사,GENERAL ECONOMIC HISTORY,양준호,경제학과,제14호관 동북아경제·경영-114 강의실[14-114]," [14-114:수(8B-9),목(8B-9)]"," [14-114:수(16:30~17:45),목(16:30~17:45)]",75분,3,3,3,0,40,37,22,15,0,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
427,2026년 1학기,글로벌정경대학,경제학과,2,전공핵심,전공핵심,KBA6030001,미시경제학,MICROECONOMICS,황성현,경제학과,제14호관 동북아경제·경영-312 강의실(소)-10[14-312]," [14-312:화(4-5A),수(4-5A)]"," [14-312:화(12:00~13:15),수(12:00~13:15)]",75분,3,3,3,0,43,40,22,18,3,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
428,2026년 1학기,글로벌정경대학,경제학과,2,전공핵심,전공핵심,KBA6030002,미시경제학,MICROECONOMICS,황성현,경제학과,제14호관 동북아경제·경영-312 강의실(소)-10[14-312]," [14-312:화(5B-6),수(5B-6)]"," [14-312:화(13:30~14:45),수(13:30~14:45)]",75분,3,3,3,0,43,41,28,13,6,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
429,2026년 1학기,글로벌정경대학,경제학과,2,전공핵심,전공핵심,KBA6030003,미시경제학,MICROECONOMICS,오태희,경제학과,제14호관 동북아경제·경영-312 강의실(소)-10[14-312]," [14-312:월(2B-3),화(2B-3)]"," [14-312:월(10:30~11:45),화(10:30~11:45)]",75분,3,3,3,0,48,48,40,8,9,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
430,2026년 1학기,글로벌정경대학,경제학과,2,전공심화,전공심화,0010863001,시사경제1,Economic Research and Journalism 1,황선길,경제학과,제14호관 동북아경제·경영-209 강의실(소)-9[14-209], [14-209:월(7-8A)(8B-9)], [14-209:월(15:00~16:15)(16:30~17:45)],75분,3,3,3,0,45,46,31,15,2,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
431,2026년 1학기,글로벌정경대학,경제학과,2,전공심화,전공심화,KBA6034001,수리경제학,MATHEMATICAL ECONOMICS,이장연,경제학과,제14호관 동북아경제·경영-312 강의실(소)-10[14-312]," [14-312:목(1-2A),금(1-2A)]"," [14-312:목(09:00~10:15),금(09:00~10:15)]",75분,3,3,3,0,61,60,36,24,0,일반과목,e-Learning,일반(1~15주),상대평가,N,비대상,미지급,아니오,,온라인(동영상),[e-Learning]
432,2026년 1학기,글로벌정경대학,경제학과,2,전공심화,전공심화,KBA6067001,정치경제학,MARXIAN ECONOMICS,이갑영,경제학과,제14호관 동북아경제·경영-105 강의실[14-105], [14-105:월(7-8A)(8B-9)], [14-105:월(15:00~16:15)(16:30~17:45)],75분,3,3,3,0,46,45,29,16,0,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
433,2026년 1학기,글로벌정경대학,경제학과,2,전공심화,전공심화,KBA6079001,경제자료의이해와활용,COMPREHENSION AND APPLICATION OF ECONOMIC DATA,김종주,경제학과,제14호관 동북아경제·경영-105 강의실[14-105], [14-105:화(7-8A)(8B-9)], [14-105:화(15:00~16:15)(16:30~17:45)],75분,3,3,3,0,45,45,33,12,0,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
434,2026년 1학기,글로벌정경대학,경제학과,3,전공심화,전공심화,0002684001,농업과푸드시스템의경제학,ECONOMICS OF AGRICULTURE AND FOOD SYSTEM,이명헌,경제학과,제14호관 동북아경제·경영-105 강의실[14-105]," [14-105:수(5B-6),목(5B-6)]"," [14-105:수(13:30~14:45),목(13:30~14:45)]",75분,3,3,3,0,36,35,24,11,0,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
435,2026년 1학기,글로벌정경대학,경제학과,3,전공심화,전공심화,0010864001,기초계량경제학,Basic Metric Economics,오태희,경제학과,제14호관 동북아경제·경영-312 강의실(소)-10[14-312]," [14-312:월(7-8A),화(7-8A)]"," [14-312:월(15:00~16:15),화(15:00~16:15)]",75분,3,3,3,0,49,48,28,20,1,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
436,2026년 1학기,글로벌정경대학,경제학과,3,전공심화,전공심화,0010865001,공정경쟁과산업분석,Fair Competition and Industry Analysis,이기환,경제학과,제14호관 동북아경제·경영-105 강의실[14-105]," [14-105:월(4-5A),화(4-5A)]"," [14-105:월(12:00~13:15),화(12:00~13:15)]",75분,3,3,3,0,40,34,25,9,0,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
437,2026년 1학기,글로벌정경대학,경제학과,3,전공심화,전공심화,KBA6045001,화폐금융론,MONETARY ECONOMICS,황상연,경제학과,제14호관 동북아경제·경영-312 강의실(소)-10[14-312]," [14-312:수(2B-3),목(2B-3)]"," [14-312:수(10:30~11:45),목(10:30~11:45)]",75분,3,3,3,0,52,51,25,26,1,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
438,2026년 1학기,글로벌정경대학,경제학과,3,전공심화,전공심화,KBA6051001,국제무역론,INTERNATIONAL TRADE,이원경,경제학과,제14호관 동북아경제·경영-312 강의실(소)-10[14-312]," [14-312:화(8B-9),목(8B-9)]"," [14-312:화(16:30~17:45),목(16:30~17:45)]",75분,3,3,3,0,47,40,33,7,0,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
439,2026년 1학기,글로벌정경대학,경제학과,3,전공심화,전공심화,KBA6083001,금융경제학,FINANCIAL ECONOMICS,신현열,경제학과,제14호관 동북아경제·경영-105 강의실[14-105], [14-105:화(1-2A)(2B-3)], [14-105:화(09:00~10:15)(10:30~11:45)],75분,3,3,3,0,50,50,31,19,0,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
440,2026년 1학기,글로벌정경대학,경제학과,4,전공심화,전공심화,0010874001,코딩거시경제학,Coding and Macroeconomics,황상연,경제학과,제14호관 동북아경제·경영-309 컴퓨터실 [14-309]," [14-309:화(7-8A),수(7-8A)]"," [14-309:화(15:00~16:15),수(15:00~16:15)]",75분,3,3,3,0,20,19,11,8,0,일반과목,강의(이론),일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
441,2026년 1학기,글로벌정경대학,경제학과,4,전공심화,전공심화,KBA6070001,거시경제학특강,SEPCIAL TOPICS ON MACROECONOMICS,이원경,경제학과,"제14호관 동북아경제·경영-105 강의실[14-105], 제14호관 동북아경제·경영-312 강의실(소)-10[14-312]", [14-105:화(5B-6)] [14-312:목(5B-6)], [14-105:화(13:30~14:45)] [14-312:목(13:30~14:45)],75분,3,3,3,0,40,26,21,5,0,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
442,2026년 1학기,글로벌정경대학,경제학과,4,전공심화,전공심화,KBA6075001,게임이론,GAMES THEORY,이기환,경제학과,제14호관 동북아경제·경영-105 강의실[14-105]," [14-105:월(2B-3),수(2B-3)]"," [14-105:월(10:30~11:45),수(10:30~11:45)]",75분,3,3,3,0,40,24,20,4,0,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
443,2026년 1학기,글로벌정경대학,경제학과(야),2,전공심화,전공심화,0010863002,시사경제1,Economic Research and Journalism 1,임조순,경제학과,제14호관 동북아경제·경영-105 강의실[14-105], [14-105:목(야1)(야2)(야3)], [14-105:목(18:00~18:50)(18:55~19:45)(19:50~20:40)],50분(표준),3,3,3,0,35,28,23,5,0,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
444,2026년 1학기,글로벌정경대학,경제학과(야),2,전공심화,전공심화,KBA6067002,정치경제학,MARXIAN ECONOMICS,이갑영,경제학과,제14호관 동북아경제·경영-105 강의실[14-105], [14-105:월(야1)(야2)(야3)], [14-105:월(18:00~18:50)(18:55~19:45)(19:50~20:40)],50분(표준),3,3,3,0,36,33,20,13,4,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
445,2026년 1학기,글로벌정경대학,경제학과(야),2,전공심화,전공심화,KBA6079002,경제자료의이해와활용,COMPREHENSION AND APPLICATION OF ECONOMIC DATA,김종주,경제학과,제14호관 동북아경제·경영-105 강의실[14-105], [14-105:화(야1)(야2)(야3)], [14-105:화(18:00~18:50)(18:55~19:45)(19:50~20:40)],50분(표준),3,3,3,0,30,10,7,3,1,일반과목,강의(이론),일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
446,2026년 1학기,글로벌정경대학,경제학과(야),4,전공심화,전공심화,0009407001,기후경제학,Economics of Climate Change,강희찬,경제학과,제14호관 동북아경제·경영-312 강의실(소)-10[14-312], [14-312:수(야1)(야2)(야3)], [14-312:수(18:00~18:50)(18:55~19:45)(19:50~20:40)],50분(표준),3,3,3,0,35,30,17,13,1,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
447,2026년 1학기,글로벌정경대학,Global Trade & Service학부,전학년,전공심화,전공심화,0006154004,현장교육.실습(Ⅴ-1),INTERNSHIP(Ⅴ-1),박영은,Global Trade & Service학부,가상건물-102 현장실습(40시수이상)[ZZ-102]," [ZZ-102:월(1)(2)(3)(4)(5)(6)(7)(8)(9),화(1)(2)(3)(4)(5)(6)(7)(8)(9),수(1)(2)(3)(4)(5)(6)(7)(8)(9),목(1)(2)(3)(4)(5)(6)(7)(8)(9),금(1)(2)(3)(4)(5)(6)(7)(8)(9)]"," [ZZ-102:월(09:00~09:50)(10:00~10:50)(11:00~11:50)(12:00~12:50)(13:00~13:50)(14:00~14:50)(15:00~15:50)(16:00~16:50)(17:00~17:50),화(09:00~09:50)(10:00~10:50)(11:00~11:50)(12:00~12:50)(13:00~13:50)(14:00~14:50)(15:00~15:50)(16:00~16:50)(17:00~17:50),수(09:00~09:50)(10:00~10:50)(11:00~11:50)(12:00~12:50)(13:00~13:50)(14:00~14:50)(15:00~15:50)(16:00~16:50)(17:00~17:50),목(09:00~09:50)(10:00~10:50)(11:00~11:50)(12:00~12:50)(13:00~13:50)(14:00~14:50)(15:00~15:50)(16:00~16:50)(17:00~17:50),금(09:00~09:50)(10:00~10:50)(11:00~11:50)(12:00~12:50)(13:00~13:50)(14:00~14:50)(15:00~15:50)(16:00~16:50)(17:00~17:50)]",50분(표준),12,40,0,40,2,2,0,2,0,현장실습,실험실습,일반(1~15주),이수인정,N,비대상,미지급,아니오,,,
448,2026년 1학기,글로벌정경대학,Global Trade & Service학부,전학년,전공심화,전공심화,0009062074,RISE,RISE,김준식,Global Trade & Service학부,,,,50분(표준),3,3,3,0,3,3,3,0,0,일반과목,RISE(시간표 없음),일반(1~15주),이수인정,N,비대상,미지급,아니오,,,
449,2026년 1학기,글로벌정경대학,Global Trade & Service학부,1,전공핵심,전공핵심,KB01001004,경제학원리(1),PRINCIPLES OF ECONOMICS(1),김순홍,Global Trade & Service학부,제14호관 동북아경제·경영-114 강의실[14-114]," [14-114:월(7-8A),화(7-8A)]"," [14-114:월(15:00~16:15),화(15:00~16:15)]",75분,3,3,3,0,40,40,16,24,1,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
450,2026년 1학기,글로벌정경대학,Global Trade & Service학부,1,전공핵심,전공핵심,KB01001005,경제학원리(1),PRINCIPLES OF ECONOMICS(1),옥우석,Global Trade & Service학부,제14호관 동북아경제·경영-114 강의실[14-114]," [14-114:월(8B-9),수(2B-3)]"," [14-114:월(16:30~17:45),수(10:30~11:45)]",75분,3,3,3,0,40,35,18,17,5,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
451,2026년 1학기,글로벌정경대학,Global Trade & Service학부,1,전공핵심,전공핵심,KB01001006,경제학원리(1),PRINCIPLES OF ECONOMICS(1),주현,Global Trade & Service학부,제14호관 동북아경제·경영-114 강의실[14-114], [14-114:화(2B-3)(4-5A)], [14-114:화(10:30~11:45)(12:00~13:15)],75분,3,3,3,0,41,41,22,19,1,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
452,2026년 1학기,글로벌정경대학,Global Trade & Service학부,1,전공핵심,전공핵심,KB01001007,경제학원리(1),PRINCIPLES OF ECONOMICS(1),주현,Global Trade & Service학부,제29호관 생명과학기술대학-403 강의실(경제학과)[29-403], [29-403:화(7-8A)(8B-9)], [29-403:화(15:00~16:15)(16:30~17:45)],75분,3,3,3,0,40,40,12,28,5,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
453,2026년 1학기,글로벌정경대학,Global Trade & Service학부,1,전공핵심,전공핵심,KB02001001,경영학원론,PRINCIPLES OF MANAGEMENT,이루리,Global Trade & Service학부,제14호관 동북아경제·경영-114 강의실[14-114]," [14-114:화(5B-6),목(5B-6)]"," [14-114:화(13:30~14:45),목(13:30~14:45)]",75분,3,3,3,0,42,42,13,29,0,일반과목,강의(이론),일반(1~15주),상대평가,Y,글로벌강의(ES),미지급,아니오,,,
454,2026년 1학기,글로벌정경대학,Global Trade & Service학부,1,전공핵심,전공핵심,KB02001002,경영학원론,PRINCIPLES OF MANAGEMENT,유담,Global Trade & Service학부,제14호관 동북아경제·경영-114 강의실[14-114]," [14-114:월(5B-6),수(5B-6)]"," [14-114:월(13:30~14:45),수(13:30~14:45)]",75분,3,3,3,0,47,47,25,22,0,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
455,2026년 1학기,글로벌정경대학,Global Trade & Service학부,1,전공심화,전공심화,0010877001,글로벌비즈니스커뮤니케이션,Global Business Communication Skills,박진범,Global Trade & Service학부,제14호관 동북아경제·경영-114 강의실[14-114], [14-114:월(야2)(야3)(야4)], [14-114:월(18:55~19:45)(19:50~20:40)(20:45~21:35)],50분(표준),3,3,3,0,60,24,11,13,0,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
456,2026년 1학기,글로벌정경대학,Global Trade & Service학부,2,전공핵심,전공핵심,0001248001,물류개론,Principles of Logistics and Transportation,안영효,Global Trade & Service학부,제14호관 동북아경제·경영-115 LAB실(강의실)[14-115]," [14-115:월(4-5A),수(8B-9)]"," [14-115:월(12:00~13:15),수(16:30~17:45)]",75분,3,3,3,0,45,44,22,22,4,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
457,2026년 1학기,글로벌정경대학,Global Trade & Service학부,2,전공핵심,전공핵심,0001248002,물류개론,Principles of Logistics and Transportation,안영효,Global Trade & Service학부,제14호관 동북아경제·경영-114 강의실[14-114]," [14-114:수(1-2A),목(4-5A)]"," [14-114:수(09:00~10:15),목(12:00~13:15)]",75분,3,3,3,0,46,45,23,22,1,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
458,2026년 1학기,글로벌정경대학,Global Trade & Service학부,2,전공핵심,전공핵심,0001248003,물류개론,Principles of Logistics and Transportation,안영효,Global Trade & Service학부,제14호관 동북아경제·경영-115 LAB실(강의실)[14-115]," [14-115:월(8B-9),목(7-8A)]"," [14-115:월(16:30~17:45),목(15:00~16:15)]",75분,3,3,3,0,47,46,16,30,4,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
459,2026년 1학기,글로벌정경대학,Global Trade & Service학부,2,전공핵심,전공핵심,0001249001,금융경제학,Financial Economics,박구웅,Global Trade & Service학부,제14호관 동북아경제·경영-115 LAB실(강의실)[14-115]," [14-115:수(5B-6),목(2B-3)]"," [14-115:수(13:30~14:45),목(10:30~11:45)]",75분,3,3,3,0,40,14,9,5,1,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
460,2026년 1학기,글로벌정경대학,Global Trade & Service학부,2,전공핵심,전공핵심,0001249002,금융경제학,Financial Economics,김준식,Global Trade & Service학부,제14호관 동북아경제·경영-114 강의실[14-114]," [14-114:화(8B-9),수(4-5A)]"," [14-114:화(16:30~17:45),수(12:00~13:15)]",75분,3,3,3,0,43,41,22,19,5,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
461,2026년 1학기,글로벌정경대학,Global Trade & Service학부,2,전공핵심,전공핵심,0001249003,금융경제학,Financial Economics,김준식,Global Trade & Service학부,제14호관 동북아경제·경영-115 LAB실(강의실)[14-115]," [14-115:수(7-8A),목(5B-6)]"," [14-115:수(15:00~16:15),목(13:30~14:45)]",75분,3,3,3,0,43,42,21,21,4,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
462,2026년 1학기,글로벌정경대학,Global Trade & Service학부,2,전공핵심,전공핵심,0001250001,e-biz개론,Introduction to e-business,유병국,Global Trade & Service학부,제14호관 동북아경제·경영-309 컴퓨터실 [14-309]," [14-309:월(8B-9),목(8B-9)]"," [14-309:월(16:30~17:45),목(16:30~17:45)]",75분,3,3,3,0,36,34,21,13,1,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
463,2026년 1학기,글로벌정경대학,Global Trade & Service학부,2,전공핵심,전공핵심,0001250002,e-biz개론,Introduction to e-business,황낙건,Global Trade & Service학부,제29호관 생명과학기술대학-403 강의실(경제학과)[29-403], [29-403:월(5B-6)(7-8A)], [29-403:월(13:30~14:45)(15:00~16:15)],75분,3,3,3,0,45,43,18,25,3,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
464,2026년 1학기,글로벌정경대학,Global Trade & Service학부,2,전공핵심,전공핵심,KBB6002001,국제무역론,THEORY OF INTERNATION TRADE,이윤,Global Trade & Service학부,"제14호관 동북아경제·경영-114 강의실[14-114], 제14호관 동북아경제·경영-115 LAB실(강의실)[14-115]", [14-114:월(2B-3)] [14-115:화(5B-6)], [14-114:월(10:30~11:45)] [14-115:화(13:30~14:45)],75분,3,3,3,0,45,41,18,23,2,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
465,2026년 1학기,글로벌정경대학,Global Trade & Service학부,2,전공핵심,전공핵심,KBB6002002,국제무역론,THEORY OF INTERNATION TRADE,이윤,Global Trade & Service학부,제14호관 동북아경제·경영-115 LAB실(강의실)[14-115]," [14-115:월(7-8A),화(4-5A)]"," [14-115:월(15:00~16:15),화(12:00~13:15)]",75분,3,3,3,0,43,43,22,21,2,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
466,2026년 1학기,글로벌정경대학,Global Trade & Service학부,2,전공핵심,전공핵심,KBB6002003,국제무역론,THEORY OF INTERNATION TRADE,이윤,Global Trade & Service학부,제14호관 동북아경제·경영-115 LAB실(강의실)[14-115]," [14-115:월(5B-6),화(7-8A)]"," [14-115:월(13:30~14:45),화(15:00~16:15)]",75분,3,3,3,0,43,41,18,23,1,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
467,2026년 1학기,글로벌정경대학,Global Trade & Service학부,2,전공심화,전공심화,0001443001,회계원리,Introduntion to Accounting,이창현,경영학부,제29호관 생명과학기술대학-403 강의실(경제학과)[29-403], [29-403:목(7-8A)(8B-9)], [29-403:목(15:00~16:15)(16:30~17:45)],75분,3,3,3,0,43,43,20,23,3,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
468,2026년 1학기,글로벌정경대학,Global Trade & Service학부,2,전공심화,전공심화,GA06108001,국제통상론,Trade Policies: Theories and Practices,고보민,Global Trade & Service학부,가상건물-200 온라인강의실[ZZ-200], [ZZ-200:수(야1-2A)(야2B-3)], [ZZ-200:수(18:00~19:15)(19:25~20:40)],75분,3,3,3,0,102,99,41,58,1,일반과목,e-Learning(HUSS),일반(1~15주),절대평가,N,비대상,미지급,아니오,,온라인(동영상),[e-Learning(HUSS)]
469,2026년 1학기,글로벌정경대학,Global Trade & Service학부,2,전공심화,전공심화,GA06108002,국제통상론,Trade Policies: Theories and Practices,손기윤,Global Trade & Service학부,제14호관 동북아경제·경영-209 강의실(소)-9[14-209], [14-209:수(5B-6)(7-8A)], [14-209:수(13:30~14:45)(15:00~16:15)],75분,3,3,3,0,35,11,5,6,0,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
470,2026년 1학기,글로벌정경대학,Global Trade & Service학부,3,전공심화,전공심화,0010469001,MICE개론,Convention and Exhibition industry,정진영,Global Trade & Service학부,제14호관 동북아경제·경영-209 강의실(소)-9[14-209]," [14-209:화(2B-3),수(2B-3)]"," [14-209:화(10:30~11:45),수(10:30~11:45)]",75분,3,3,3,0,42,41,13,28,4,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
471,2026년 1학기,글로벌정경대학,Global Trade & Service학부,3,전공심화,전공심화,0010878001,디지털비즈니스애널리틱스,Digital Business Analytics,김경원,Global Trade & Service학부,제14호관 동북아경제·경영-309 컴퓨터실 [14-309]," [14-309:화(2B-3),목(7-8A)]"," [14-309:화(10:30~11:45),목(15:00~16:15)]",75분,3,3,3,0,35,32,18,14,1,일반과목,온라인혼합형강좌,일반(1~15주),상대평가,N,비대상,미지급,아니오,,온라인(동영상)+오프라인,[온라인혼합형강좌]
472,2026년 1학기,글로벌정경대학,Global Trade & Service학부,3,전공심화,전공심화,0010878002,디지털비즈니스애널리틱스,Digital Business Analytics,김경원,Global Trade & Service학부,제29호관 생명과학기술대학-203 강의실(무역학부)[29-203]," [29-203:화(5B-6),목(4-5A)]"," [29-203:화(13:30~14:45),목(12:00~13:15)]",75분,3,3,3,0,35,32,12,20,0,일반과목,온라인혼합형강좌,일반(1~15주),상대평가,N,비대상,미지급,아니오,,온라인(동영상)+오프라인,[온라인혼합형강좌]
473,2026년 1학기,글로벌정경대학,Global Trade & Service학부,3,전공심화,전공심화,0010887001,통계실습,Practice of Statistics,유병국,Global Trade & Service학부,제14호관 동북아경제·경영-309 컴퓨터실 [14-309]," [14-309:화(8B-9),목(5B-6)]"," [14-309:화(16:30~17:45),목(13:30~14:45)]",75분,3,3,3,0,35,34,12,22,0,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
474,2026년 1학기,글로벌정경대학,Global Trade & Service학부,3,전공심화,전공심화,0011436001,서비스마케팅론,Service Marketing,이루리,Global Trade & Service학부,제14호관 동북아경제·경영-209 강의실(소)-9[14-209]," [14-209:화(7-8A),목(4-5A)]"," [14-209:화(15:00~16:15),목(12:00~13:15)]",75분,3,3,3,0,44,41,15,26,0,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
475,2026년 1학기,글로벌정경대학,Global Trade & Service학부,3,전공심화,전공심화,0012354001,국제거래규범,Law of International Transactions,김규진,Global Trade & Service학부,제14호관 동북아경제·경영-209 강의실(소)-9[14-209]," [14-209:화(8B-9),목(8B-9)]"," [14-209:화(16:30~17:45),목(16:30~17:45)]",75분,3,3,3,0,45,45,19,26,0,일반과목,온라인혼합형강좌,일반(1~15주),상대평가,N,비대상,미지급,아니오,,온라인(동영상)+오프라인,[온라인혼합형강좌]
476,2026년 1학기,글로벌정경대학,Global Trade & Service학부,3,전공심화,전공심화,KBB6011001,국제금융론,THEORY OF INTERNATION FINANCE,박구웅,Global Trade & Service학부,제14호관 동북아경제·경영-209 강의실(소)-9[14-209]," [14-209:월(4-5A),수(8B-9)]"," [14-209:월(12:00~13:15),수(16:30~17:45)]",75분,3,3,3,0,34,19,10,9,4,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
477,2026년 1학기,글로벌정경대학,Global Trade & Service학부,3,전공심화,전공심화,KBB6051001,국제경영론,INTERNATIONAL BUSINESS MANAGEMENT,유담,Global Trade & Service학부,제14호관 동북아경제·경영-209 강의실(소)-9[14-209]," [14-209:월(2B-3),목(1-2A)]"," [14-209:월(10:30~11:45),목(09:00~10:15)]",75분,3,3,3,0,43,38,20,18,0,일반과목,강의(이론),일반(1~15주),절대평가,Y,원어강의(EN),지급,아니오,,,
478,2026년 1학기,글로벌정경대학,Global Trade & Service학부,3,전공심화,전공심화,KBB6055001,국제무역보험론,THEORY OF INTERNATIONAL TRADE INSURANCE,김규진,Global Trade & Service학부,제14호관 동북아경제·경영-209 강의실(소)-9[14-209]," [14-209:화(5B-6),목(2B-3)]"," [14-209:화(13:30~14:45),목(10:30~11:45)]",75분,3,3,3,0,44,44,22,22,0,일반과목,온라인혼합형강좌,일반(1~15주),상대평가,N,비대상,미지급,아니오,,온라인(동영상)+오프라인,[온라인혼합형강좌]
479,2026년 1학기,글로벌정경대학,Global Trade & Service학부,4,전공심화,전공심화,0006714001,MICE기획론,Convention Planning,정진영,Global Trade & Service학부,제29호관 생명과학기술대학-203 강의실(무역학부)[29-203]," [29-203:수(7-8A)(8B-9),목(5B-6)(7-8A)]"," [29-203:수(15:00~16:15)(16:30~17:45),목(13:30~14:45)(15:00~16:15)]",75분,3,3,3,0,40,9,2,7,0,일반과목,강의(이론),집중A(1~8주),절대평가,N,비대상,미지급,예,,,[집중A(1~8주)]
480,2026년 1학기,글로벌정경대학,Global Trade & Service학부,4,전공심화,전공심화,0010880001,글로벌비즈니스캡스톤디자인1,Global Business Capstone Design 1,옥우석,Global Trade & Service학부,제29호관 생명과학기술대학-203 강의실(무역학부)[29-203], [29-203:화(야1)(야2)(야3)], [29-203:화(18:00~18:50)(18:55~19:45)(19:50~20:40)],50분(표준),3,3,3,0,20,13,5,8,0,일반과목,강의(이론),일반(1~15주),절대평가,N,비대상,미지급,예,,,
